NUTS2;YEAR;SEX;RANKING_REF_YEAR;GIVEN_NAME;NUMBER;;;;;;
AT31;2018;1;1;Lukas;281;;;;;;
AT31;2018;1;2;Paul;184;;;;;;
AT31;2018;1;3;Jakob;182;;;;;;
AT31;2018;1;4;Jonas;177;;;;;;
AT31;2018;1;5;David;173;;;;;;
AT31;2018;1;6;Elias;168;;;;;;
AT31;2018;1;7;Alexander;163;;;;;;
AT31;2018;1;8;Felix;157;;;;;;
AT31;2018;1;9;Tobias;146;;;;;;
AT31;2018;1;10;Maximilian;132;;;;;;
AT31;2018;1;11;Simon;122;;;;;;
AT31;2018;1;12;Fabian;117;;;;;;
AT31;2018;1;13;Matteo;116;;;;;;
AT31;2018;1;14;Julian;110;;;;;;
AT31;2018;1;14;Leon;110;;;;;;
AT31;2018;1;16;Johannes;108;;;;;;
AT31;2018;1;16;Moritz;108;;;;;;
AT31;2018;1;18;Anton;104;;;;;;
AT31;2018;1;19;Raphael;102;;;;;;
AT31;2018;1;20;Matthias;101;;;;;;
AT31;2018;1;21;Noah;99;;;;;;
AT31;2018;1;22;Michael;92;;;;;;
AT31;2018;1;22;Niklas;92;;;;;;
AT31;2018;1;24;Emil;85;;;;;;
AT31;2018;1;24;Florian;85;;;;;;
AT31;2018;1;24;Philipp;85;;;;;;
AT31;2018;1;27;Lorenz;84;;;;;;
AT31;2018;1;28;Benjamin;83;;;;;;
AT31;2018;1;29;Sebastian;82;;;;;;
AT31;2018;1;30;Samuel;78;;;;;;
AT31;2018;1;31;Leo;77;;;;;;
AT31;2018;1;31;Luis;77;;;;;;
AT31;2018;1;33;Josef;76;;;;;;
AT31;2018;1;33;Valentin;76;;;;;;
AT31;2018;1;35;Daniel;71;;;;;;
AT31;2018;1;36;Dominik;68;;;;;;
AT31;2018;1;37;Gabriel;62;;;;;;
AT31;2018;1;38;Theo;61;;;;;;
AT31;2018;1;39;Ben;60;;;;;;
AT31;2018;1;40;Markus;57;;;;;;
AT31;2018;1;41;Jonathan;54;;;;;;
AT31;2018;1;42;Leonhard;52;;;;;;
AT31;2018;1;43;Vincent;49;;;;;;
AT31;2018;1;44;Liam;46;;;;;;
AT31;2018;1;45;Jan;44;;;;;;
AT31;2018;1;45;Manuel;44;;;;;;
AT31;2018;1;47;Andreas;43;;;;;;
AT31;2018;1;47;Konstantin;43;;;;;;
AT31;2018;1;49;Finn;42;;;;;;
AT31;2018;1;50;Muhammed;41;;;;;;
AT31;2018;1;50;Theodor;41;;;;;;
AT31;2018;1;52;Marcel;40;;;;;;
AT31;2018;1;53;Benedikt;39;;;;;;
AT31;2018;1;53;Nico;39;;;;;;
AT31;2018;1;55;Aaron;37;;;;;;
AT31;2018;1;56;Viktor;35;;;;;;
AT31;2018;1;57;Oskar;34;;;;;;
AT31;2018;1;58;Erik;31;;;;;;
AT31;2018;1;58;Jannik;31;;;;;;
AT31;2018;1;58;Thomas;31;;;;;;
AT31;2018;1;58;Tim;31;;;;;;
AT31;2018;1;58;Xaver;31;;;;;;
AT31;2018;2;1;Anna;391;;;;;;
AT31;2018;2;2;Maria;245;;;;;;
AT31;2018;2;3;Sophie;234;;;;;;
AT31;2018;2;4;Emilia;186;;;;;;
AT31;2018;2;5;Elena;179;;;;;;
AT31;2018;2;6;Emma;145;;;;;;
AT31;2018;2;7;Sarah;143;;;;;;
AT31;2018;2;8;Lena;131;;;;;;
AT31;2018;2;9;Luisa;130;;;;;;
AT31;2018;2;10;Laura;121;;;;;;
AT31;2018;2;11;Mia;120;;;;;;
AT31;2018;2;12;Marlene;114;;;;;;
AT31;2018;2;13;Johanna;109;;;;;;
AT31;2018;2;14;Valentina;104;;;;;;
AT31;2018;2;15;Katharina;100;;;;;;
AT31;2018;2;16;Magdalena;95;;;;;;
AT31;2018;2;17;Chiara;93;;;;;;
AT31;2018;2;18;Lara;89;;;;;;
AT31;2018;2;19;Julia;87;;;;;;
AT31;2018;2;20;Lea;84;;;;;;
AT31;2018;2;20;Leonie;84;;;;;;
AT31;2018;2;22;Amelie;83;;;;;;
AT31;2018;2;23;Lina;75;;;;;;
AT31;2018;2;24;Isabella;71;;;;;;
AT31;2018;2;25;Theresa;70;;;;;;
AT31;2018;2;26;Nora;69;;;;;;
AT31;2018;2;27;Viktoria;66;;;;;;
AT31;2018;2;28;Elisa;64;;;;;;
AT31;2018;2;29;Annika;58;;;;;;
AT31;2018;2;29;Caroline;58;;;;;;
AT31;2018;2;31;Valerie;54;;;;;;
AT31;2018;2;32;Ella;53;;;;;;
AT31;2018;2;32;Paulina;53;;;;;;
AT31;2018;2;34;Franziska;51;;;;;;
AT31;2018;2;35;Lisa;50;;;;;;
AT31;2018;2;36;Olivia;46;;;;;;
AT31;2018;2;37;Paula;43;;;;;;
AT31;2018;2;38;Rosa;42;;;;;;
AT31;2018;2;39;Eva;40;;;;;;
AT31;2018;2;39;Mila;40;;;;;;
AT31;2018;2;41;Maja;39;;;;;;
AT31;2018;2;41;Nina;39;;;;;;
AT31;2018;2;43;Charlotte;37;;;;;;
AT31;2018;2;44;Antonia;36;;;;;;
AT31;2018;2;45;Linda;35;;;;;;
AT31;2018;2;46;Lejla;34;;;;;;
AT31;2018;2;47;Frida;32;;;;;;
AT31;2018;2;47;Matilda;32;;;;;;
AT31;2018;2;49;Greta;31;;;;;;
AT31;2018;2;50;Rosalie;30;;;;;;
AT31;2018;2;51;Anja;29;;;;;;
AT31;2018;2;52;Anna-Lena;27;;;;;;
AT31;2018;2;52;Florentina;27;;;;;;
AT31;2018;2;52;Ida;27;;;;;;
AT31;2018;2;55;Alexandra;26;;;;;;
AT31;2018;2;55;Lilly;26;;;;;;
AT31;2018;2;55;Melina;26;;;;;;
AT31;2018;2;58;Alina;25;;;;;;
AT31;2018;2;59;Elisabeth;24;;;;;;
AT31;2018;2;59;Mona;24;;;;;;
AT31;2017;1;1;Lukas;293;;;;;;
AT31;2017;1;2;Elias;191;;;;;;
AT31;2017;1;3;Jakob;189;;;;;;
AT31;2017;1;4;Alexander;183;;;;;;
AT31;2017;1;5;David;181;;;;;;
AT31;2017;1;6;Jonas;171;;;;;;
AT31;2017;1;7;Paul;168;;;;;;
AT31;2017;1;8;Tobias;167;;;;;;
AT31;2017;1;9;Felix;163;;;;;;
AT31;2017;1;10;Maximilian;158;;;;;;
AT31;2017;1;11;Simon;126;;;;;;
AT31;2017;1;12;Lorenz;123;;;;;;
AT31;2017;1;13;Leon;122;;;;;;
AT31;2017;1;14;Fabian;118;;;;;;
AT31;2017;1;15;Matteo;114;;;;;;
AT31;2017;1;16;Niklas;112;;;;;;
AT31;2017;1;17;Moritz;106;;;;;;
AT31;2017;1;18;Johannes;103;;;;;;
AT31;2017;1;18;Raphael;103;;;;;;
AT31;2017;1;20;Sebastian;102;;;;;;
AT31;2017;1;21;Florian;100;;;;;;
AT31;2017;1;22;Julian;95;;;;;;
AT31;2017;1;23;Matthias;92;;;;;;
AT31;2017;1;24;Noah;90;;;;;;
AT31;2017;1;25;Anton;86;;;;;;
AT31;2017;1;26;Valentin;82;;;;;;
AT31;2017;1;27;Daniel;79;;;;;;
AT31;2017;1;28;Philipp;78;;;;;;
AT31;2017;1;29;Dominik;76;;;;;;
AT31;2017;1;29;Samuel;76;;;;;;
AT31;2017;1;31;Benjamin;73;;;;;;
AT31;2017;1;32;Luis;70;;;;;;
AT31;2017;1;32;Michael;70;;;;;;
AT31;2017;1;34;Emil;69;;;;;;
AT31;2017;1;35;Leo;66;;;;;;
AT31;2017;1;35;Leonhard;66;;;;;;
AT31;2017;1;37;Nico;62;;;;;;
AT31;2017;1;38;Markus;59;;;;;;
AT31;2017;1;39;Gabriel;57;;;;;;
AT31;2017;1;40;Josef;56;;;;;;
AT31;2017;1;41;Andreas;55;;;;;;
AT31;2017;1;42;Ben;54;;;;;;
AT31;2017;1;43;Konstantin;52;;;;;;
AT31;2017;1;44;Jan;50;;;;;;
AT31;2017;1;44;Theodor;50;;;;;;
AT31;2017;1;46;Finn;49;;;;;;
AT31;2017;1;47;Theo;44;;;;;;
AT31;2017;1;48;Manuel;40;;;;;;
AT31;2017;1;49;Benedikt;38;;;;;;
AT31;2017;1;49;Oskar;38;;;;;;
AT31;2017;1;51;Muhammed;37;;;;;;
AT31;2017;1;52;Adrian;35;;;;;;
AT31;2017;1;53;Adam;34;;;;;;
AT31;2017;1;53;Emir;34;;;;;;
AT31;2017;1;53;Erik;34;;;;;;
AT31;2017;1;53;Jonathan;34;;;;;;
AT31;2017;1;53;Liam;34;;;;;;
AT31;2017;1;53;Marcel;34;;;;;;
AT31;2017;1;53;Xaver;34;;;;;;
AT31;2017;1;60;Max;32;;;;;;
AT31;2017;2;1;Anna;454;;;;;;
AT31;2017;2;2;Maria;280;;;;;;
AT31;2017;2;3;Sophie;279;;;;;;
AT31;2017;2;4;Emilia;196;;;;;;
AT31;2017;2;5;Elena;188;;;;;;
AT31;2017;2;6;Lena;167;;;;;;
AT31;2017;2;7;Emma;143;;;;;;
AT31;2017;2;8;Laura;133;;;;;;
AT31;2017;2;9;Magdalena;123;;;;;;
AT31;2017;2;10;Lara;110;;;;;;
AT31;2017;2;10;Luisa;110;;;;;;
AT31;2017;2;10;Sarah;110;;;;;;
AT31;2017;2;13;Julia;109;;;;;;
AT31;2017;2;14;Lea;105;;;;;;
AT31;2017;2;15;Mia;103;;;;;;
AT31;2017;2;16;Johanna;99;;;;;;
AT31;2017;2;16;Valentina;99;;;;;;
AT31;2017;2;18;Katharina;97;;;;;;
AT31;2017;2;19;Marlene;93;;;;;;
AT31;2017;2;20;Chiara;91;;;;;;
AT31;2017;2;21;Amelie;89;;;;;;
AT31;2017;2;22;Leonie;86;;;;;;
AT31;2017;2;23;Isabella;79;;;;;;
AT31;2017;2;24;Theresa;76;;;;;;
AT31;2017;2;25;Lina;72;;;;;;
AT31;2017;2;26;Franziska;67;;;;;;
AT31;2017;2;26;Viktoria;67;;;;;;
AT31;2017;2;28;Nora;64;;;;;;
AT31;2017;2;29;Elisa;63;;;;;;
AT31;2017;2;30;Annika;61;;;;;;
AT31;2017;2;31;Lisa;57;;;;;;
AT31;2017;2;32;Ella;51;;;;;;
AT31;2017;2;32;Eva;51;;;;;;
AT31;2017;2;34;Caroline;50;;;;;;
AT31;2017;2;35;Valerie;45;;;;;;
AT31;2017;2;36;Paulina;40;;;;;;
AT31;2017;2;37;Antonia;39;;;;;;
AT31;2017;2;38;Alina;37;;;;;;
AT31;2017;2;39;Nina;36;;;;;;
AT31;2017;2;39;Paula;36;;;;;;
AT31;2017;2;39;Rosa;36;;;;;;
AT31;2017;2;42;Anja;34;;;;;;
AT31;2017;2;43;Mila;33;;;;;;
AT31;2017;2;44;Lejla;32;;;;;;
AT31;2017;2;44;Pia;32;;;;;;
AT31;2017;2;46;Christina;31;;;;;;
AT31;2017;2;46;Ida;31;;;;;;
AT31;2017;2;48;Jasmin;30;;;;;;
AT31;2017;2;49;Josefine;29;;;;;;
AT31;2017;2;49;Maja;29;;;;;;
AT31;2017;2;51;Olivia;28;;;;;;
AT31;2017;2;52;Rosalie;27;;;;;;
AT31;2017;2;53;Linda;26;;;;;;
AT31;2017;2;53;Melina;26;;;;;;
AT31;2017;2;55;Elisabeth;25;;;;;;
AT31;2017;2;55;Greta;25;;;;;;
AT31;2017;2;55;Lilly;25;;;;;;
AT31;2017;2;55;Matilda;25;;;;;;
AT31;2017;2;55;Selina;25;;;;;;
AT31;2017;2;60;Vanessa;24;;;;;;
AT31;2017;2;60;Zoe;24;;;;;;
AT31;2016;1;1;Lukas;301;;;;;;
AT31;2016;1;2;David;241;;;;;;
AT31;2016;1;3;Jakob;183;;;;;;
AT31;2016;1;4;Elias;175;;;;;;
AT31;2016;1;5;Maximilian;173;;;;;;
AT31;2016;1;6;Paul;162;;;;;;
AT31;2016;1;7;Alexander;161;;;;;;
AT31;2016;1;8;Jonas;160;;;;;;
AT31;2016;1;9;Tobias;151;;;;;;
AT31;2016;1;10;Simon;140;;;;;;
AT31;2016;1;11;Niklas;139;;;;;;
AT31;2016;1;12;Felix;135;;;;;;
AT31;2016;1;13;Sebastian;127;;;;;;
AT31;2016;1;14;Leon;126;;;;;;
AT31;2016;1;15;Florian;113;;;;;;
AT31;2016;1;15;Raphael;113;;;;;;
AT31;2016;1;17;Lorenz;110;;;;;;
AT31;2016;1;18;Julian;109;;;;;;
AT31;2016;1;19;Fabian;104;;;;;;
AT31;2016;1;20;Johannes;101;;;;;;
AT31;2016;1;20;Michael;101;;;;;;
AT31;2016;1;22;Matthias;100;;;;;;
AT31;2016;1;23;Matteo;99;;;;;;
AT31;2016;1;24;Valentin;97;;;;;;
AT31;2016;1;25;Moritz;94;;;;;;
AT31;2016;1;26;Noah;91;;;;;;
AT31;2016;1;27;Philipp;88;;;;;;
AT31;2016;1;28;Leo;82;;;;;;
AT31;2016;1;29;Luis;79;;;;;;
AT31;2016;1;30;Daniel;78;;;;;;
AT31;2016;1;31;Josef;75;;;;;;
AT31;2016;1;32;Samuel;72;;;;;;
AT31;2016;1;33;Dominik;71;;;;;;
AT31;2016;1;34;Anton;65;;;;;;
AT31;2016;1;35;Benjamin;64;;;;;;
AT31;2016;1;36;Muhammed;62;;;;;;
AT31;2016;1;37;Leonhard;61;;;;;;
AT31;2016;1;38;Andreas;59;;;;;;
AT31;2016;1;38;Ben;59;;;;;;
AT31;2016;1;40;Markus;55;;;;;;
AT31;2016;1;41;Jonathan;54;;;;;;
AT31;2016;1;42;Jan;50;;;;;;
AT31;2016;1;43;Gabriel;48;;;;;;
AT31;2016;1;43;Nico;48;;;;;;
AT31;2016;1;43;Vincent;48;;;;;;
AT31;2016;1;46;Emil;46;;;;;;
AT31;2016;1;46;Finn;46;;;;;;
AT31;2016;1;46;Manuel;46;;;;;;
AT31;2016;1;49;Theo;37;;;;;;
AT31;2016;1;50;Christoph;36;;;;;;
AT31;2016;1;51;Benedikt;35;;;;;;
AT31;2016;1;51;Marcel;35;;;;;;
AT31;2016;1;51;Oliver;35;;;;;;
AT31;2016;1;54;Oskar;34;;;;;;
AT31;2016;1;54;Stefan;34;;;;;;
